itemId,simScore,hotLevel,category,pId
item128,1,128,1,1 
item129,1,129,1,1 
item130,1,130,1,1 
item131,1,131,1,1 
item132,1,132,1,1 
item133,1,133,1,1 
item134,1,134,1,1 
item135,1,135,1,1 
item136,1,136,1,1 
item137,1,137,1,1 
item138,1,138,1,1 
item139,1,139,1,1 
item140,1,140,1,1 
item141,1,141,1,1 
item142,1,142,1,1 
item143,1,143,1,1 
item144,1,144,1,1 
item145,1,145,1,1 
item146,1,146,1,1 
item147,1,147,1,1 
item148,1,148,1,1 
item149,1,149,1,1 
item150,1,150,1,1 
item151,1,151,1,1 
item152,1,152,1,1 
item153,1,153,1,1 
item154,1,154,1,1 
item155,1,155,1,1 
item156,1,156,1,1 
item157,1,157,1,1 
item158,1,158,1,1 
item159,1,159,1,1 
item160,1,160,1,1 
item161,1,161,1,1 
item162,1,162,1,1 
item163,1,163,1,1 
item164,1,164,1,1 
item165,1,165,1,1 
item166,1,166,1,1 
item167,1,167,1,1 
item168,1,168,1,1 
item169,1,169,1,1 
item170,1,170,1,1 
item171,1,171,1,1 
item172,1,172,1,1 
item173,1,173,1,1 
item174,1,174,1,1 
item175,1,175,1,1 
item176,1,176,1,1 
item177,1,177,1,1 
item178,1,178,1,1 
item179,1,179,1,1 
item180,1,180,1,1 
item181,1,181,1,1 
item182,1,182,1,1 
item183,1,183,1,1 
item184,1,184,1,1 
item185,1,185,1,1 
item186,1,186,1,1 
item187,1,187,1,1 
item188,1,188,1,1 
item189,1,189,1,1 
item190,1,190,1,1 
item191,1,191,1,1 
item192,1,192,1,1 
item193,1,193,1,1 
item194,1,194,1,1 
item195,1,195,1,1 
item196,1,196,1,1 
item197,1,197,1,1 
item198,1,198,1,1 
item199,1,199,1,1 
item200,1,200,1,1 
item201,1,201,1,1 
item202,1,202,1,1 
item203,1,203,1,1 
item204,1,204,1,1 
item205,1,205,1,1 
item206,1,206,1,1 
item207,1,207,1,1 
item208,1,208,1,1 
item209,1,209,1,1 
item210,1,210,1,1 
item211,1,211,1,1 
item212,1,212,1,1 
item213,1,213,1,1 
item214,1,214,1,1 
item215,1,215,1,1 
item216,1,216,1,1 
item217,1,217,1,1 
item218,1,218,1,1 
item219,1,219,1,1 
item220,1,220,1,1 
item221,1,221,1,1 
item222,1,222,1,1 
item223,1,223,1,1 
item224,1,224,1,1 
item225,1,225,1,1 
item226,1,226,1,1 
item227,1,227,1,1 
item228,1,228,1,1 
item229,1,229,1,1 
item230,1,230,1,1 
item231,1,231,1,1 
item232,1,232,1,1 
item233,1,233,1,1 
item234,1,234,1,1 
item235,1,235,1,1 
item236,1,236,1,1 
item237,1,237,1,1 
item238,1,238,1,1 
item239,1,239,1,1 
item240,1,240,1,1 
item241,1,241,1,1 
item242,1,242,1,1 
item243,1,243,1,1 
item244,1,244,1,1 
item245,1,245,1,1 
item246,1,246,1,1 
item247,1,247,1,1 
item248,1,248,1,1 
item249,1,249,1,1 
item250,1,250,1,1 
item251,1,251,1,1 
item252,1,252,1,1 
item253,1,253,1,1 
item254,1,254,1,1 
item255,1,255,1,1 
item256,1,256,1,1 
item257,1,257,1,1 
item258,1,258,1,1 
item259,1,259,1,1 
item260,1,260,1,1 
item261,1,261,1,1 
item262,1,262,1,1 
item263,1,263,1,1 
item264,1,264,1,1 
item265,1,265,1,1 
item266,1,266,1,1 
item267,1,267,1,1 
item268,1,268,1,1 
item269,1,269,1,1 
item270,1,270,1,1 
item271,1,271,1,1 
item272,1,272,1,1 
item273,1,273,1,1 
item274,1,274,1,1 
item275,1,275,1,1 
item276,1,276,1,1 
item277,1,277,1,1 
item278,1,278,1,1 
item279,1,279,1,1 
item280,1,280,1,1 
item281,1,281,1,1 
item282,1,282,1,1 
item283,1,283,1,1 
item284,1,284,1,1 
item285,1,285,1,1 
item286,1,286,1,1 
item287,1,287,1,1 
item288,1,288,1,1 
item289,1,289,1,1 
item290,1,290,1,1 
item291,1,291,1,1 
item292,1,292,1,1 
item293,1,293,1,1 
item294,1,294,1,1 
item295,1,295,1,1 
item296,1,296,1,1 
item297,1,297,1,1 
item298,1,298,1,1 
item299,1,299,1,1 
item300,1,300,1,1 
item301,1,301,1,1 
item302,1,302,1,1 
item303,1,303,1,1 
item304,1,304,1,1 
item305,1,305,1,1 
item306,1,306,1,1 
item307,1,307,1,1 
item308,1,308,1,1 
item309,1,309,1,1 
item310,1,310,1,1 
item311,1,311,1,1 
item312,1,312,1,1 
item313,1,313,1,1 
item314,1,314,1,1 
item315,1,315,1,1 
item316,1,316,1,1 
item317,1,317,1,1 
item318,1,318,1,1 
item319,1,319,1,1 
item320,1,320,1,1 
item321,1,321,1,1 
item322,1,322,1,1 
item323,1,323,1,1 
item324,1,324,1,1 
item325,1,325,1,1 
item326,1,326,1,1 
item327,1,327,1,1 
item328,1,328,1,1 
item329,1,329,1,1 
item330,1,330,1,1 
item331,1,331,1,1 
item332,1,332,1,1 
item333,1,333,1,1 
item334,1,334,1,1 
item335,1,335,1,1 
item336,1,336,1,1 
item337,1,337,1,1 
item338,1,338,1,1 
item339,1,339,1,1 
item340,1,340,1,1 
item341,1,341,1,1 
item342,1,342,1,1 
item343,1,343,1,1 
item344,1,344,1,1 
item345,1,345,1,1 
item346,1,346,1,1 
item347,1,347,1,1 
item348,1,348,1,1 
item349,1,349,1,1 
item350,1,350,1,1 
item351,1,351,1,1 
item352,1,352,1,1 
item353,1,353,1,1 
item354,1,354,1,1 
item355,1,355,1,1 
item356,1,356,1,1 
item357,1,357,1,1 
item358,1,358,1,1 
item359,1,359,1,1 
item360,1,360,1,1 
item361,1,361,1,1 
item362,1,362,1,1 
item363,1,363,1,1 
item364,1,364,1,1 
item365,1,365,1,1 
item366,1,366,1,1 
item367,1,367,1,1 
item368,1,368,1,1 
item369,1,369,1,1 
item370,1,370,1,1 
item371,1,371,1,1 
item372,1,372,1,1 
item373,1,373,1,1 
item374,1,374,1,1 
item375,1,375,1,1 
item376,1,376,1,1 
item377,1,377,1,1 
item378,1,378,1,1 
item379,1,379,1,1 
item380,1,380,1,1 
item381,1,381,1,1 
item382,1,382,1,1 
item383,1,383,1,1 
item384,1,384,1,1 
item385,1,385,1,1 
item386,1,386,1,1 
item387,1,387,1,1 
item388,1,388,1,1 
item389,1,389,1,1 
item390,1,390,1,1 
item391,1,391,1,1 
item392,1,392,1,1 
item393,1,393,1,1 
item394,1,394,1,1 
item395,1,395,1,1 
item396,1,396,1,1 
item397,1,397,1,1 
item398,1,398,1,1 
item399,1,399,1,1 
item400,1,400,1,1 
item401,1,401,1,1 
item402,1,402,1,1 
item403,1,403,1,1 
item404,1,404,1,1 
item405,1,405,1,1 
item406,1,406,1,1 
item407,1,407,1,1 
item408,1,408,1,1 
item409,1,409,1,1 
item410,1,410,1,1 
item411,1,411,1,1 
item412,1,412,1,1 
item413,1,413,1,1 
item414,1,414,1,1 
item415,1,415,1,1 
item416,1,416,1,1 
item417,1,417,1,1 
item418,1,418,1,1 
item419,1,419,1,1 
item420,1,420,1,1 
item421,1,421,1,1 
item422,1,422,1,1 
item423,1,423,1,1 
item424,1,424,1,1 
item425,1,425,1,1 
item426,1,426,1,1 
item427,1,427,1,1 
item428,1,428,1,1 
item429,1,429,1,1 
item430,1,430,1,1 
item431,1,431,1,1 
item432,1,432,1,1 
item433,1,433,1,1 
item434,1,434,1,1 
item435,1,435,1,1 
item436,1,436,1,1 
item437,1,437,1,1 
item438,1,438,1,1 
item439,1,439,1,1 
item440,1,440,1,1 
item441,1,441,1,1 
item442,1,442,1,1 
item443,1,443,1,1 
item444,1,444,1,1 
item445,1,445,1,1 
item446,1,446,1,1 
item447,1,447,1,1 
item448,1,448,1,1 
item449,1,449,1,1 
item450,1,450,1,1 
item451,1,451,1,1 
item452,1,452,1,1 
item453,1,453,1,1 
item454,1,454,1,1 
item455,1,455,1,1 
item456,1,456,1,1 
item457,1,457,1,1 
item458,1,458,1,1 
item459,1,459,1,1 
item460,1,460,1,1 
item461,1,461,1,1 
item462,1,462,1,1 
item463,1,463,1,1 
item464,1,464,1,1 
item465,1,465,1,1 
item466,1,466,1,1 
item467,1,467,1,1 
item468,1,468,1,1 
item469,1,469,1,1 
item470,1,470,1,1 
item471,1,471,1,1 
item472,1,472,1,1 
item473,1,473,1,1 
item474,1,474,1,1 
item475,1,475,1,1 
item476,1,476,1,1 
item477,1,477,1,1 
item478,1,478,1,1 
item479,1,479,1,1 
item480,1,480,1,1 
item481,1,481,1,1 
item482,1,482,1,1 
item483,1,483,1,1 
item484,1,484,1,1 
item485,1,485,1,1 
item486,1,486,1,1 
item487,1,487,1,1 
item488,1,488,1,1 
item489,1,489,1,1 
item490,1,490,1,1 
item491,1,491,1,1 
item492,1,492,1,1 
item493,1,493,1,1 
item494,1,494,1,1 
item495,1,495,1,1 
item496,1,496,1,1 
item497,1,497,1,1 
item498,1,498,1,1 
item499,1,499,1,1 
item500,1,500,1,1 
item501,1,501,1,1 
item502,1,502,1,1 
item503,1,503,1,1 
item504,1,504,1,1 
item505,1,505,1,1 
item506,1,506,1,1 
item507,1,507,1,1 
item508,1,508,1,1 
item509,1,509,1,1 
item510,1,510,1,1 
item511,1,511,1,1 
item512,1,512,1,1 
item513,1,513,1,1 
item514,1,514,1,1 
item515,1,515,1,1 
item516,1,516,1,1 
item517,1,517,1,1 
item518,1,518,1,1 
item519,1,519,1,1 
item520,1,520,1,1 
item521,1,521,1,1 
item522,1,522,1,1 
item523,1,523,1,1 
item524,1,524,1,1 
item525,1,525,1,1 
item526,1,526,1,1 
item527,1,527,1,1 
item528,1,528,1,1 
item529,1,529,1,1 
item530,1,530,1,1 
item531,1,531,1,1 
item532,1,532,1,1 
item533,1,533,1,1 
item534,1,534,1,1 
item535,1,535,1,1 
item536,1,536,1,1 
item537,1,537,1,1 
item538,1,538,1,1 
item539,1,539,1,1 
item540,1,540,1,1 
item541,1,541,1,1 
item542,1,542,1,1 
item543,1,543,1,1 
item544,1,544,1,1 
item545,1,545,1,1 
item546,1,546,1,1 
item547,1,547,1,1 
item548,1,548,1,1 
item549,1,549,1,1 
item550,1,550,1,1 
item551,1,551,1,1 
item552,1,552,1,1 
item553,1,553,1,1 
item554,1,554,1,1 
item555,1,555,1,1 
item556,1,556,1,1 
item557,1,557,1,1 
item558,1,558,1,1 
item559,1,559,1,1 
item560,1,560,1,1 
item561,1,561,1,1 
item562,1,562,1,1 
item563,1,563,1,1 
item564,1,564,1,1 
item565,1,565,1,1 
item566,1,566,1,1 
item567,1,567,1,1 
item568,1,568,1,1 
item569,1,569,1,1 
item570,1,570,1,1 
item571,1,571,1,1 
item572,1,572,1,1 
item573,1,573,1,1 
item574,1,574,1,1 
item575,1,575,1,1 
item576,1,576,1,1 
item577,1,577,1,1 
item578,1,578,1,1 
item579,1,579,1,1 
item580,1,580,1,1 
item581,1,581,1,1 
item582,1,582,1,1 
item583,1,583,1,1 
item584,1,584,1,1 
item585,1,585,1,1 
item586,1,586,1,1 
item587,1,587,1,1 
item588,1,588,1,1 
item589,1,589,1,1 
item590,1,590,1,1 
item591,1,591,1,1 
item592,1,592,1,1 
item593,1,593,1,1 
item594,1,594,1,1 
item595,1,595,1,1 
item596,1,596,1,1 
item597,1,597,1,1 
item598,1,598,1,1 
item599,1,599,1,1 
item600,1,600,1,1 
item601,1,601,1,1 
item602,1,602,1,1 
item603,1,603,1,1 
item604,1,604,1,1 
item605,1,605,1,1 
item606,1,606,1,1 
item607,1,607,1,1 
item608,1,608,1,1 
item609,1,609,1,1 
item610,1,610,1,1 
item611,1,611,1,1 
item612,1,612,1,1 
item613,1,613,1,1 
item614,1,614,1,1 
item615,1,615,1,1 
item616,1,616,1,1 
item617,1,617,1,1 
item618,1,618,1,1 
item619,1,619,1,1 
item620,1,620,1,1 
item621,1,621,1,1 
item622,1,622,1,1 
item623,1,623,1,1 
item624,1,624,1,1 
item625,1,625,1,1 
item626,1,626,1,1 
item627,1,627,1,1 
item628,1,628,1,1 
item629,1,629,1,1 
item630,1,630,1,1 
item631,1,631,1,1 
item632,1,632,1,1 
item633,1,633,1,1 
item634,1,634,1,1 
item635,1,635,1,1 
item636,1,636,1,1 
item637,1,637,1,1 
item638,1,638,1,1 
item639,1,639,1,1 
item640,1,640,1,1 
item641,1,641,1,1 
item642,1,642,1,1 
item643,1,643,1,1 
item644,1,644,1,1 
item645,1,645,1,1 
item646,1,646,1,1 
item647,1,647,1,1 
item648,1,648,1,1 
item649,1,649,1,1 
item650,1,650,1,1 
item651,1,651,1,1 
item652,1,652,1,1 
item653,1,653,1,1 
item654,1,654,1,1 
item655,1,655,1,1 
item656,1,656,1,1 
item657,1,657,1,1 
item658,1,658,1,1 
item659,1,659,1,1 
item660,1,660,1,1 
item661,1,661,1,1 
item662,1,662,1,1 
item663,1,663,1,1 
item664,1,664,1,1 
item665,1,665,1,1 
item666,1,666,1,1 
item667,1,667,1,1 
item668,1,668,1,1 
item669,1,669,1,1 
item670,1,670,1,1 
item671,1,671,1,1 
item672,1,672,1,1 
item673,1,673,1,1 
item674,1,674,1,1 
item675,1,675,1,1 
item676,1,676,1,1 
item677,1,677,1,1 
item678,1,678,1,1 
item679,1,679,1,1 
item680,1,680,1,1 
item681,1,681,1,1 
item682,1,682,1,1 
item683,1,683,1,1 
item684,1,684,1,1 
item685,1,685,1,1 
item686,1,686,1,1 
item687,1,687,1,1 
item688,1,688,1,1 
item689,1,689,1,1 
item690,1,690,1,1 
item691,1,691,1,1 
item692,1,692,1,1 
item693,1,693,1,1 
item694,1,694,1,1 
item695,1,695,1,1 
item696,1,696,1,1 
item697,1,697,1,1 
item698,1,698,1,1 
item699,1,699,1,1 
item700,1,700,1,1 
item701,1,701,1,1 
item702,1,702,1,1 
item703,1,703,1,1 
item704,1,704,1,1 
item705,1,705,1,1 
item706,1,706,1,1 
item707,1,707,1,1 
item708,1,708,1,1 
item709,1,709,1,1 
item710,1,710,1,1 
item711,1,711,1,1 
item712,1,712,1,1 
item713,1,713,1,1 
item714,1,714,1,1 
item715,1,715,1,1 
item716,1,716,1,1 
item717,1,717,1,1 
item718,1,718,1,1 
item719,1,719,1,1 
item720,1,720,1,1 
item721,1,721,1,1 
item722,1,722,1,1 
item723,1,723,1,1 
item724,1,724,1,1 
item725,1,725,1,1 
item726,1,726,1,1 
item727,1,727,1,1 
item728,1,728,1,1 
item729,1,729,1,1 
item730,1,730,1,1 
item731,1,731,1,1 
item732,1,732,1,1 
item733,1,733,1,1 
item734,1,734,1,1 
item735,1,735,1,1 
item736,1,736,1,1 
item737,1,737,1,1 
item738,1,738,1,1 
item739,1,739,1,1 
item740,1,740,1,1 
item741,1,741,1,1 
item742,1,742,1,1 
item743,1,743,1,1 
item744,1,744,1,1 
item745,1,745,1,1 
item746,1,746,1,1 
item747,1,747,1,1 
item748,1,748,1,1 
item749,1,749,1,1 
item750,1,750,1,1 
item751,1,751,1,1 
item752,1,752,1,1 
item753,1,753,1,1 
item754,1,754,1,1 
item755,1,755,1,1 
item756,1,756,1,1 
item757,1,757,1,1 
item758,1,758,1,1 
item759,1,759,1,1 
item760,1,760,1,1 
item761,1,761,1,1 
item762,1,762,1,1 
item763,1,763,1,1 
item764,1,764,1,1 
item765,1,765,1,1 
item766,1,766,1,1 
item767,1,767,1,1 
item768,1,768,1,1 
item769,1,769,1,1 
item770,1,770,1,1 
item771,1,771,1,1 
item772,1,772,1,1 
item773,1,773,1,1 
item774,1,774,1,1 
item775,1,775,1,1 
item776,1,776,1,1 
item777,1,777,1,1 
item778,1,778,1,1 
item779,1,779,1,1 
item780,1,780,1,1 
item781,1,781,1,1 
item782,1,782,1,1 
item783,1,783,1,1 
item784,1,784,1,1 
item785,1,785,1,1 
item786,1,786,1,1 
item787,1,787,1,1 
item788,1,788,1,1 
item789,1,789,1,1 
item790,1,790,1,1 
item791,1,791,1,1 
item792,1,792,1,1 
item793,1,793,1,1 
item794,1,794,1,1 
item795,1,795,1,1 
item796,1,796,1,1 
item797,1,797,1,1 
item798,1,798,1,1 
item799,1,799,1,1 
item800,1,800,1,1 
item801,1,801,1,1 
item802,1,802,1,1 
item803,1,803,1,1 
item804,1,804,1,1 
item805,1,805,1,1 
item806,1,806,1,1 
item807,1,807,1,1 
item808,1,808,1,1 
item809,1,809,1,1 
item810,1,810,1,1 
item811,1,811,1,1 
item812,1,812,1,1 
item813,1,813,1,1 
item814,1,814,1,1 
item815,1,815,1,1 
item816,1,816,1,1 
item817,1,817,1,1 
item818,1,818,1,1 
item819,1,819,1,1 
item820,1,820,1,1 
item821,1,821,1,1 
item822,1,822,1,1 
item823,1,823,1,1 
item824,1,824,1,1 
item825,1,825,1,1 
item826,1,826,1,1 
item827,1,827,1,1 
item828,1,828,1,1 
item829,1,829,1,1 
item830,1,830,1,1 
item831,1,831,1,1 
item832,1,832,1,1 
item833,1,833,1,1 
item834,1,834,1,1 
item835,1,835,1,1 
item836,1,836,1,1 
item837,1,837,1,1 
item838,1,838,1,1 
item839,1,839,1,1 
item840,1,840,1,1 
item841,1,841,1,1 
item842,1,842,1,1 
item843,1,843,1,1 
item844,1,844,1,1 
item845,1,845,1,1 
item846,1,846,1,1 
item847,1,847,1,1 
item848,1,848,1,1 
item849,1,849,1,1 
item850,1,850,1,1 
item851,1,851,1,1 
item852,1,852,1,1 
item853,1,853,1,1 
item854,1,854,1,1 
item855,1,855,1,1 
item856,1,856,1,1 
item857,1,857,1,1 
item858,1,858,1,1 
item859,1,859,1,1 
item860,1,860,1,1 
item861,1,861,1,1 
item862,1,862,1,1 
item863,1,863,1,1 
item864,1,864,1,1 
item865,1,865,1,1 
item866,1,866,1,1 
item867,1,867,1,1 
item868,1,868,1,1 
item869,1,869,1,1 
item870,1,870,1,1 
item871,1,871,1,1 
item872,1,872,1,1 
item873,1,873,1,1 
item874,1,874,1,1 
item875,1,875,1,1 
item876,1,876,1,1 
item877,1,877,1,1 
item878,1,878,1,1 
item879,1,879,1,1 
item880,1,880,1,1 
item881,1,881,1,1 
item882,1,882,1,1 
item883,1,883,1,1 
item884,1,884,1,1 
item885,1,885,1,1 
item886,1,886,1,1 
item887,1,887,1,1 
item888,1,888,1,1 
item889,1,889,1,1 
item890,1,890,1,1 
item891,1,891,1,1 
item892,1,892,1,1 
item893,1,893,1,1 
item894,1,894,1,1 
item895,1,895,1,1 
item896,1,896,1,1 
item897,1,897,1,1 
item898,1,898,1,1 
item899,1,899,1,1 
item900,1,900,1,1 
item901,1,901,1,1 
item902,1,902,1,1 
item903,1,903,1,1 
item904,1,904,1,1 
item905,1,905,1,1 
item906,1,906,1,1 
item907,1,907,1,1 
item908,1,908,1,1 
item909,1,909,1,1 
item910,1,910,1,1 
item911,1,911,1,1 
item912,1,912,1,1 
item913,1,913,1,1 
item914,1,914,1,1 
item915,1,915,1,1 
item916,1,916,1,1 
item917,1,917,1,1 
item918,1,918,1,1 
item919,1,919,1,1 
item920,1,920,1,1 
item921,1,921,1,1 
item922,1,922,1,1 
item923,1,923,1,1 
item924,1,924,1,1 
item925,1,925,1,1 
item926,1,926,1,1 
item927,1,927,1,1 
item928,1,928,1,1 
item929,1,929,1,1 
item930,1,930,1,1 
item931,1,931,1,1 
item932,1,932,1,1 
item933,1,933,1,1 
item934,1,934,1,1 
item935,1,935,1,1 
item936,1,936,1,1 
item937,1,937,1,1 
item938,1,938,1,1 
item939,1,939,1,1 
item940,1,940,1,1 
item941,1,941,1,1 
item942,1,942,1,1 
item943,1,943,1,1 
item944,1,944,1,1 
item945,1,945,1,1 
item946,1,946,1,1 
item947,1,947,1,1 
item948,1,948,1,1 
item949,1,949,1,1 
item950,1,950,1,1 
item951,1,951,1,1 
item952,1,952,1,1 
item953,1,953,1,1 
item954,1,954,1,1 
item955,1,955,1,1 
item956,1,956,1,1 
item957,1,957,1,1 
item958,1,958,1,1 
item959,1,959,1,1 
item960,1,960,1,1 
item961,1,961,1,1 
item962,1,962,1,1 
item963,1,963,1,1 
item964,1,964,1,1 
item965,1,965,1,1 
item966,1,966,1,1 
item967,1,967,1,1 
item968,1,968,1,1 
item969,1,969,1,1 
item970,1,970,1,1 
item971,1,971,1,1 
item972,1,972,1,1 
item973,1,973,1,1 
item974,1,974,1,1 
item975,1,975,1,1 
item976,1,976,1,1 
item977,1,977,1,1 
item978,1,978,1,1 
item979,1,979,1,1 
item980,1,980,1,1 
item981,1,981,1,1 
item982,1,982,1,1 
item983,1,983,1,1 
item984,1,984,1,1 
item985,1,985,1,1 
item986,1,986,1,1 
item987,1,987,1,1 
item988,1,988,1,1 
item989,1,989,1,1 
item990,1,990,1,1 
item991,1,991,1,1 
item992,1,992,1,1 
item993,1,993,1,1 
item994,1,994,1,1 
item995,1,995,1,1 
item996,1,996,1,1 
item997,1,997,1,1 
item998,1,998,1,1 
item999,1,999,1,1 
item1000,1,1000,1,1 
item1001,1,1001,1,1 
item1002,1,1002,1,1 
item1003,1,1003,1,1 
item1004,1,1004,1,1 
item1005,1,1005,1,1 
item1006,1,1006,1,1 
item1007,1,1007,1,1 
item1008,1,1008,1,1 
item1009,1,1009,1,1 
item1010,1,1010,1,1 
item1011,1,1011,1,1 
item1012,1,1012,1,1 
item1013,1,1013,1,1 
item1014,1,1014,1,1 
item1015,1,1015,1,1 
item1016,1,1016,1,1 
item1017,1,1017,1,1 
item1018,1,1018,1,1 
item1019,1,1019,1,1 
item1020,1,1020,1,1 
item1021,1,1021,1,1 
item1022,1,1022,1,1 
item1023,1,1023,1,1 
item1024,1,1024,1,1 
item1025,1,1025,1,1 
item1026,1,1026,1,1 
item1027,1,1027,1,1 
item1028,1,1028,1,1 
item1029,1,1029,1,1 
item1030,1,1030,1,1 
item1031,1,1031,1,1 
item1032,1,1032,1,1 
item1033,1,1033,1,1 
item1034,1,1034,1,1 
item1035,1,1035,1,1 
item1036,1,1036,1,1 
item1037,1,1037,1,1 
item1038,1,1038,1,1 
item1039,1,1039,1,1 
item1040,1,1040,1,1 
item1041,1,1041,1,1 
item1042,1,1042,1,1 
item1043,1,1043,1,1 
item1044,1,1044,1,1 
item1045,1,1045,1,1 
item1046,1,1046,1,1 
item1047,1,1047,1,1 
item1048,1,1048,1,1 
item1049,1,1049,1,1 
item1050,1,1050,1,1 
item1051,1,1051,1,1 
item1052,1,1052,1,1 
item1053,1,1053,1,1 
item1054,1,1054,1,1 
item1055,1,1055,1,1 
item1056,1,1056,1,1 
item1057,1,1057,1,1 
item1058,1,1058,1,1 
item1059,1,1059,1,1 
item1060,1,1060,1,1 
item1061,1,1061,1,1 
item1062,1,1062,1,1 
item1063,1,1063,1,1 
item1064,1,1064,1,1 
item1065,1,1065,1,1 
item1066,1,1066,1,1 
item1067,1,1067,1,1 
item1068,1,1068,1,1 
item1069,1,1069,1,1 
item1070,1,1070,1,1 
item1071,1,1071,1,1 
item1072,1,1072,1,1 
item1073,1,1073,1,1 
item1074,1,1074,1,1 
item1075,1,1075,1,1 
item1076,1,1076,1,1 
item1077,1,1077,1,1 
item1078,1,1078,1,1 
item1079,1,1079,1,1 
item1080,1,1080,1,1 
item1081,1,1081,1,1 
item1082,1,1082,1,1 
item1083,1,1083,1,1 
item1084,1,1084,1,1 
item1085,1,1085,1,1 
item1086,1,1086,1,1 
item1087,1,1087,1,1 
item1088,1,1088,1,1 
item1089,1,1089,1,1 
item1090,1,1090,1,1 
item1091,1,1091,1,1 
item1092,1,1092,1,1 
item1093,1,1093,1,1 
item1094,1,1094,1,1 
item1095,1,1095,1,1 
item1096,1,1096,1,1 
item1097,1,1097,1,1 
item1098,1,1098,1,1 
item1099,1,1099,1,1 
item1100,1,1100,1,1 
item1101,1,1101,1,1 
item1102,1,1102,1,1 
item1103,1,1103,1,1 
item1104,1,1104,1,1 
item1105,1,1105,1,1 
item1106,1,1106,1,1 
item1107,1,1107,1,1 
item1108,1,1108,1,1 
item1109,1,1109,1,1 
item1110,1,1110,1,1 
item1111,1,1111,1,1 
item1112,1,1112,1,1 
item1113,1,1113,1,1 
item1114,1,1114,1,1 
item1115,1,1115,1,1 
item1116,1,1116,1,1 
item1117,1,1117,1,1 
item1118,1,1118,1,1 
item1119,1,1119,1,1 
item1120,1,1120,1,1 
item1121,1,1121,1,1 
item1122,1,1122,1,1 
item1123,1,1123,1,1 
item1124,1,1124,1,1 
item1125,1,1125,1,1 
item1126,1,1126,1,1 
item1127,1,1127,1,1 
item1128,1,1128,1,1 
item1129,1,1129,1,1 
item1130,1,1130,1,1 
item1131,1,1131,1,1 
item1132,1,1132,1,1 
item1133,1,1133,1,1 
item1134,1,1134,1,1 
item1135,1,1135,1,1 
item1136,1,1136,1,1 
item1137,1,1137,1,1 
item1138,1,1138,1,1 
item1139,1,1139,1,1 
item1140,1,1140,1,1 
