UserId,ItemId,Type,Time,Version
U55,item55,55,2014-07-08 09:0066,1
U56,item56,56,2014-07-08 09:0067,1
U57,item57,57,2014-07-08 09:0068,1
U58,item58,58,2014-07-08 09:0069,1
U59,item59,59,2014-07-08 09:0070,1
U60,item60,60,2014-07-08 09:0071,1
U61,item61,61,2014-07-08 09:0072,1
U62,item62,62,2014-07-08 09:0073,1
U63,item63,63,2014-07-08 09:0074,1
U64,item64,64,2014-07-08 09:0075,1
U65,item65,65,2014-07-08 09:0076,1
U66,item66,66,2014-07-08 09:0077,1
U67,item67,67,2014-07-08 09:0078,1
U68,item68,68,2014-07-08 09:0079,1
U69,item69,69,2014-07-08 09:0080,1
U70,item70,70,2014-07-08 09:0081,1
U71,item71,71,2014-07-08 09:0082,1
U72,item72,72,2014-07-08 09:0083,1
U73,item73,73,2014-07-08 09:0084,1
U74,item74,74,2014-07-08 09:0085,1
U75,item75,75,2014-07-08 09:0086,1
U76,item76,76,2014-07-08 09:0087,1
U77,item77,77,2014-07-08 09:0088,1
U78,item78,78,2014-07-08 09:0089,1
U79,item79,79,2014-07-08 09:0090,1
U80,item80,80,2014-07-08 09:0091,1
U81,item81,81,2014-07-08 09:0092,1
U82,item82,82,2014-07-08 09:0093,1
U83,item83,83,2014-07-08 09:0094,1
U84,item84,84,2014-07-08 09:0095,1
U85,item85,85,2014-07-08 09:0096,1
U86,item86,86,2014-07-08 09:0097,1
U87,item87,87,2014-07-08 09:0098,1
U88,item88,88,2014-07-08 09:0099,1
U89,item89,89,41828.44444,1
U90,item90,90,41828.44514,1
U91,item91,91,41828.44583,1
U92,item92,92,41828.44653,1
U93,item93,93,41828.44722,1
U94,item94,94,41828.44792,1
U95,item95,95,41828.44861,1
U96,item96,96,41828.44931,1
U97,item97,97,41828.45,1
U98,item98,98,41828.45069,1
U99,item99,99,41828.45139,1
U100,item100,100,41828.45208,1
U101,item101,101,41828.45278,1
U102,item102,102,41828.45347,1
U103,item103,103,41828.45417,1
U104,item104,104,41828.45486,1
U105,item105,105,41828.45556,1
U106,item106,106,41828.45625,1
U107,item107,107,41828.45694,1
U108,item108,108,41828.45764,1
U109,item109,109,41828.45833,1
U110,item110,110,41828.45903,1
U111,item111,111,41828.45972,1
U112,item112,112,41828.46042,1
U113,item113,113,41828.46111,1
U114,item114,114,41828.46181,1
U115,item115,115,41828.4625,1
U116,item116,116,41828.46319,1
U117,item117,117,41828.46389,1
U118,item118,118,41828.46458,1
U119,item119,119,41828.46528,1
U120,item120,120,41828.46597,1
U121,item121,121,41828.46667,1
U122,item122,122,41828.46736,1
U123,item123,123,41828.46806,1
U124,item124,124,41828.46875,1
U125,item125,125,41828.46944,1
U126,item126,126,41828.47014,1
U127,item127,127,41828.47083,1
U128,item128,128,41828.47153,1
U129,item129,129,41828.47222,1
U130,item130,130,41828.47292,1
U131,item131,131,41828.47361,1
U132,item132,132,41828.47431,1
U133,item133,133,41828.475,1
U134,item134,134,41828.47569,1
U135,item135,135,41828.47639,1
U136,item136,136,41828.47708,1
U137,item137,137,41828.47778,1
U138,item138,138,41828.47847,1
U139,item139,139,41828.47917,1
U140,item140,140,41828.47986,1
U141,item141,141,41828.48056,1
U142,item142,142,41828.48125,1
U143,item143,143,41828.48194,1
U144,item144,144,41828.48264,1
U145,item145,145,41828.48333,1
U146,item146,146,41828.48403,1
U147,item147,147,41828.48472,1
U148,item148,148,41828.48542,1
U149,item149,149,41828.48611,1
U150,item150,150,41828.48681,1
U151,item151,151,41828.4875,1
U152,item152,152,41828.48819,1
U153,item153,153,41828.48889,1
U154,item154,154,41828.48958,1
U155,item155,155,41828.49028,1
U156,item156,156,41828.49097,1
U157,item157,157,41828.49167,1
U158,item158,158,41828.49236,1
U159,item159,159,41828.49306,1
U160,item160,160,41828.49375,1
U161,item161,161,41828.49444,1
U162,item162,162,41828.49514,1
U163,item163,163,41828.49583,1
U164,item164,164,41828.49653,1
U165,item165,165,41828.49722,1
U166,item166,166,41828.49792,1
U167,item167,167,41828.49861,1
U168,item168,168,41828.49931,1
U169,item169,169,41828.5,1
U170,item170,170,41828.50069,1
U171,item171,171,41828.50139,1
U172,item172,172,41828.50208,1
U173,item173,173,41828.50278,1
U174,item174,174,41828.50347,1
U175,item175,175,41828.50417,1
U176,item176,176,41828.50486,1
U177,item177,177,41828.50556,1
U178,item178,178,41828.50625,1
U179,item179,179,41828.50694,1
U180,item180,180,41828.50764,1
U181,item181,181,41828.50833,1
U182,item182,182,41828.50903,1
U183,item183,183,41828.50972,1
U184,item184,184,41828.51042,1
U185,item185,185,41828.51111,1
U186,item186,186,41828.51181,1
U187,item187,187,41828.5125,1
U188,item188,188,41828.51319,1
U189,item189,189,41828.51389,1
U190,item190,190,41828.51458,1
U191,item191,191,41828.51528,1
U192,item192,192,41828.51597,1
U193,item193,193,41828.51667,1
U194,item194,194,41828.51736,1
U195,item195,195,41828.51806,1
U196,item196,196,41828.51875,1
U197,item197,197,41828.51944,1
U198,item198,198,41828.52014,1
U199,item199,199,41828.52083,1
U200,item200,200,41828.52153,1
U201,item201,201,41828.52222,1
U202,item202,202,41828.52292,1
U203,item203,203,41828.52361,1
U204,item204,204,41828.52431,1
U205,item205,205,41828.525,1
U206,item206,206,41828.52569,1
U207,item207,207,41828.52639,1
U208,item208,208,41828.52708,1
U209,item209,209,41828.52778,1
U210,item210,210,41828.52847,1
U211,item211,211,41828.52917,1
U212,item212,212,41828.52986,1
U213,item213,213,41828.53056,1
U214,item214,214,41828.53125,1
U215,item215,215,41828.53194,1
U216,item216,216,41828.53264,1
U217,item217,217,41828.53333,1
U218,item218,218,41828.53403,1
U219,item219,219,41828.53472,1
U220,item220,220,41828.53542,1
U221,item221,221,41828.53611,1
U222,item222,222,41828.53681,1
U223,item223,223,41828.5375,1
U224,item224,224,41828.53819,1
U225,item225,225,41828.53889,1
U226,item226,226,41828.53958,1
U227,item227,227,41828.54028,1
U228,item228,228,41828.54097,1
U229,item229,229,41828.54167,1
U230,item230,230,41828.54236,1
U231,item231,231,41828.54306,1
U232,item232,232,41828.54375,1
U233,item233,233,41828.54444,1
U234,item234,234,41828.54514,1
U235,item235,235,41828.54583,1
U236,item236,236,41828.54653,1
U237,item237,237,41828.54722,1
U238,item238,238,41828.54792,1
U239,item239,239,41828.54861,1
U240,item240,240,41828.54931,1
U241,item241,241,41828.55,1
U242,item242,242,41828.55069,1
U243,item243,243,41828.55139,1
U244,item244,244,41828.55208,1
U245,item245,245,41828.55278,1
U246,item246,246,41828.55347,1
U247,item247,247,41828.55417,1
U248,item248,248,41828.55486,1
U249,item249,249,41828.55556,1
U250,item250,250,41828.55625,1
U251,item251,251,41828.55694,1
U252,item252,252,41828.55764,1
U253,item253,253,41828.55833,1
U254,item254,254,41828.55903,1
U255,item255,255,41828.55972,1
U256,item256,256,41828.56042,1
U257,item257,257,41828.56111,1
U258,item258,258,41828.56181,1
U259,item259,259,41828.5625,1
U260,item260,260,41828.56319,1
U261,item261,261,41828.56389,1
U262,item262,262,41828.56458,1
U263,item263,263,41828.56528,1
U264,item264,264,41828.56597,1
U265,item265,265,41828.56667,1
U266,item266,266,41828.56736,1
U267,item267,267,41828.56806,1
U268,item268,268,41828.56875,1
U269,item269,269,41828.56944,1
U270,item270,270,41828.57014,1
U271,item271,271,41828.57083,1
U272,item272,272,41828.57153,1
U273,item273,273,41828.57222,1
U274,item274,274,41828.57292,1
U275,item275,275,41828.57361,1
U276,item276,276,41828.57431,1
U277,item277,277,41828.575,1
U278,item278,278,41828.57569,1
U279,item279,279,41828.57639,1
U280,item280,280,41828.57708,1
U281,item281,281,41828.57778,1
U282,item282,282,41828.57847,1
U283,item283,283,41828.57917,1
U284,item284,284,41828.57986,1
U285,item285,285,41828.58056,1
U286,item286,286,41828.58125,1
U287,item287,287,41828.58194,1
U288,item288,288,41828.58264,1
U289,item289,289,41828.58333,1
U290,item290,290,41828.58403,1
U291,item291,291,41828.58472,1
U292,item292,292,41828.58542,1
U293,item293,293,41828.58611,1
U294,item294,294,41828.58681,1
U295,item295,295,41828.5875,1
U296,item296,296,41828.58819,1
U297,item297,297,41828.58889,1
U298,item298,298,41828.58958,1
U299,item299,299,41828.59028,1
U300,item300,300,41828.59097,1
U301,item301,301,41828.59167,1
U302,item302,302,41828.59236,1
U303,item303,303,41828.59306,1
U304,item304,304,41828.59375,1
U305,item305,305,41828.59444,1
U306,item306,306,41828.59514,1
U307,item307,307,41828.59583,1
U308,item308,308,41828.59653,1
U309,item309,309,41828.59722,1
U310,item310,310,41828.59792,1
U311,item311,311,41828.59861,1
U312,item312,312,41828.59931,1
U313,item313,313,41828.6,1
U314,item314,314,41828.60069,1
U315,item315,315,41828.60139,1
U316,item316,316,41828.60208,1
U317,item317,317,41828.60278,1
U318,item318,318,41828.60347,1
U319,item319,319,41828.60417,1
U320,item320,320,41828.60486,1
U321,item321,321,41828.60556,1
U322,item322,322,41828.60625,1
U323,item323,323,41828.60694,1
U324,item324,324,41828.60764,1
U325,item325,325,41828.60833,1
U326,item326,326,41828.60903,1
U327,item327,327,41828.60972,1
U328,item328,328,41828.61042,1
U329,item329,329,41828.61111,1
U330,item330,330,41828.61181,1
U331,item331,331,41828.6125,1
U332,item332,332,41828.61319,1
U333,item333,333,41828.61389,1
U334,item334,334,41828.61458,1
U335,item335,335,41828.61528,1
U336,item336,336,41828.61597,1
U337,item337,337,41828.61667,1
U338,item338,338,41828.61736,1
U339,item339,339,41828.61806,1
U340,item340,340,41828.61875,1
U341,item341,341,41828.61944,1
U342,item342,342,41828.62014,1
U343,item343,343,41828.62083,1
U344,item344,344,41828.62153,1
U345,item345,345,41828.62222,1
U346,item346,346,41828.62292,1
U347,item347,347,41828.62361,1
U348,item348,348,41828.62431,1
U349,item349,349,41828.625,1
U350,item350,350,41828.62569,1
U351,item351,351,41828.62639,1
U352,item352,352,41828.62708,1
U353,item353,353,41828.62778,1
U354,item354,354,41828.62847,1
U355,item355,355,41828.62917,1
U356,item356,356,41828.62986,1
U357,item357,357,41828.63056,1
U358,item358,358,41828.63125,1
U359,item359,359,41828.63194,1
U360,item360,360,41828.63264,1
U361,item361,361,41828.63333,1
U362,item362,362,41828.63403,1
U363,item363,363,41828.63472,1
U364,item364,364,41828.63542,1
U365,item365,365,41828.63611,1
U366,item366,366,41828.63681,1
U367,item367,367,41828.6375,1
U368,item368,368,41828.63819,1
U369,item369,369,41828.63889,1
U370,item370,370,41828.63958,1
U371,item371,371,41828.64028,1
U372,item372,372,41828.64097,1
U373,item373,373,41828.64167,1
U374,item374,374,41828.64236,1
U375,item375,375,41828.64306,1
U376,item376,376,41828.64375,1
U377,item377,377,41828.64444,1
U378,item378,378,41828.64514,1
U379,item379,379,41828.64583,1
U380,item380,380,41828.64653,1
U381,item381,381,41828.64722,1
U382,item382,382,41828.64792,1
U383,item383,383,41828.64861,1
U384,item384,384,41828.64931,1
U385,item385,385,41828.65,1
U386,item386,386,41828.65069,1
U387,item387,387,41828.65139,1
U388,item388,388,41828.65208,1
U389,item389,389,41828.65278,1
U390,item390,390,41828.65347,1
U391,item391,391,41828.65417,1
U392,item392,392,41828.65486,1
U393,item393,393,41828.65556,1
U394,item394,394,41828.65625,1
U395,item395,395,41828.65694,1
U396,item396,396,41828.65764,1
U397,item397,397,41828.65833,1
U398,item398,398,41828.65903,1
U399,item399,399,41828.65972,1
U400,item400,400,41828.66042,1
U401,item401,401,41828.66111,1
U402,item402,402,41828.66181,1
U403,item403,403,41828.6625,1
U404,item404,404,41828.66319,1
U405,item405,405,41828.66389,1
U406,item406,406,41828.66458,1
U407,item407,407,41828.66528,1
U408,item408,408,41828.66597,1
U409,item409,409,41828.66667,1
U410,item410,410,41828.66736,1
U411,item411,411,41828.66806,1
U412,item412,412,41828.66875,1
U413,item413,413,41828.66944,1
U414,item414,414,41828.67014,1
U415,item415,415,41828.67083,1
U416,item416,416,41828.67153,1
U417,item417,417,41828.67222,1
U418,item418,418,41828.67292,1
U419,item419,419,41828.67361,1
U420,item420,420,41828.67431,1
U421,item421,421,41828.675,1
U422,item422,422,41828.67569,1
U423,item423,423,41828.67639,1
U424,item424,424,41828.67708,1
U425,item425,425,41828.67778,1
U426,item426,426,41828.67847,1
U427,item427,427,41828.67917,1
U428,item428,428,41828.67986,1
U429,item429,429,41828.68056,1
U430,item430,430,41828.68125,1
U431,item431,431,41828.68194,1
U432,item432,432,41828.68264,1
U433,item433,433,41828.68333,1
U434,item434,434,41828.68403,1
U435,item435,435,41828.68472,1
U436,item436,436,41828.68542,1
U437,item437,437,41828.68611,1
U438,item438,438,41828.68681,1
U439,item439,439,41828.6875,1
U440,item440,440,41828.68819,1
U441,item441,441,41828.68889,1
U442,item442,442,41828.68958,1
U443,item443,443,41828.69028,1
U444,item444,444,41828.69097,1
U445,item445,445,41828.69167,1
U446,item446,446,41828.69236,1
U447,item447,447,41828.69306,1
U448,item448,448,41828.69375,1
U449,item449,449,41828.69444,1
U450,item450,450,41828.69514,1
U451,item451,451,41828.69583,1
U452,item452,452,41828.69653,1
U453,item453,453,41828.69722,1
U454,item454,454,41828.69792,1
U455,item455,455,41828.69861,1
U456,item456,456,41828.69931,1
U457,item457,457,41828.7,1
U458,item458,458,41828.70069,1
U459,item459,459,41828.70139,1
U460,item460,460,41828.70208,1
U461,item461,461,41828.70278,1
U462,item462,462,41828.70347,1
U463,item463,463,41828.70417,1
U464,item464,464,41828.70486,1
U465,item465,465,41828.70556,1
U466,item466,466,41828.70625,1
U467,item467,467,41828.70694,1
U468,item468,468,41828.70764,1
U469,item469,469,41828.70833,1
U470,item470,470,41828.70903,1
U471,item471,471,41828.70972,1
U472,item472,472,41828.71042,1
U473,item473,473,41828.71111,1
U474,item474,474,41828.71181,1
U475,item475,475,41828.7125,1
U476,item476,476,41828.71319,1
U477,item477,477,41828.71389,1
U478,item478,478,41828.71458,1
U479,item479,479,41828.71528,1
U480,item480,480,41828.71597,1
U481,item481,481,41828.71667,1
U482,item482,482,41828.71736,1
U483,item483,483,41828.71806,1
U484,item484,484,41828.71875,1
U485,item485,485,41828.71944,1
U486,item486,486,41828.72014,1
U487,item487,487,41828.72083,1
U488,item488,488,41828.72153,1
U489,item489,489,41828.72222,1
U490,item490,490,41828.72292,1
U491,item491,491,41828.72361,1
U492,item492,492,41828.72431,1
U493,item493,493,41828.725,1
U494,item494,494,41828.72569,1
U495,item495,495,41828.72639,1
U496,item496,496,41828.72708,1
U497,item497,497,41828.72778,1
U498,item498,498,41828.72847,1
U499,item499,499,41828.72917,1
U500,item500,500,41828.72986,1
U501,item501,501,41828.73056,1
U502,item502,502,41828.73125,1
U503,item503,503,41828.73194,1
U504,item504,504,41828.73264,1
U505,item505,505,41828.73333,1
U506,item506,506,41828.73403,1
U507,item507,507,41828.73472,1
U508,item508,508,41828.73542,1
U509,item509,509,41828.73611,1
U510,item510,510,41828.73681,1
U511,item511,511,41828.7375,1
U512,item512,512,41828.73819,1
U513,item513,513,41828.73889,1
U514,item514,514,41828.73958,1
U515,item515,515,41828.74028,1
U516,item516,516,41828.74097,1
U517,item517,517,41828.74167,1
U518,item518,518,41828.74236,1
U519,item519,519,41828.74306,1
U520,item520,520,41828.74375,1
U521,item521,521,41828.74444,1
U522,item522,522,41828.74514,1
U523,item523,523,41828.74583,1
U524,item524,524,41828.74653,1
U525,item525,525,41828.74722,1
U526,item526,526,41828.74792,1
U527,item527,527,41828.74861,1
U528,item528,528,41828.74931,1
U529,item529,529,41828.75,1
U530,item530,530,41828.75069,1
U531,item531,531,41828.75139,1
U532,item532,532,41828.75208,1
U533,item533,533,41828.75278,1
U534,item534,534,41828.75347,1
U535,item535,535,41828.75417,1
U536,item536,536,41828.75486,1
U537,item537,537,41828.75556,1
U538,item538,538,41828.75625,1
U539,item539,539,41828.75694,1
U540,item540,540,41828.75764,1
U541,item541,541,41828.75833,1
U542,item542,542,41828.75903,1
U543,item543,543,41828.75972,1
U544,item544,544,41828.76042,1
U545,item545,545,41828.76111,1
U546,item546,546,41828.76181,1
U547,item547,547,41828.7625,1
U548,item548,548,41828.76319,1
U549,item549,549,41828.76389,1
U550,item550,550,41828.76458,1
U551,item551,551,41828.76528,1
U552,item552,552,41828.76597,1
U553,item553,553,41828.76667,1
U554,item554,554,41828.76736,1
U555,item555,555,41828.76806,1
U556,item556,556,41828.76875,1
U557,item557,557,41828.76944,1
U558,item558,558,41828.77014,1
U559,item559,559,41828.77083,1
U560,item560,560,41828.77153,1
U561,item561,561,41828.77222,1
U562,item562,562,41828.77292,1
U563,item563,563,41828.77361,1
U564,item564,564,41828.77431,1
U565,item565,565,41828.775,1
U566,item566,566,41828.77569,1
U567,item567,567,41828.77639,1
U568,item568,568,41828.77708,1
U569,item569,569,41828.77778,1
U570,item570,570,41828.77847,1
U571,item571,571,41828.77917,1
U572,item572,572,41828.77986,1
U573,item573,573,41828.78056,1
U574,item574,574,41828.78125,1
U575,item575,575,41828.78194,1
U576,item576,576,41828.78264,1
U577,item577,577,41828.78333,1
U578,item578,578,41828.78403,1
U579,item579,579,41828.78472,1
U580,item580,580,41828.78542,1
U581,item581,581,41828.78611,1
U582,item582,582,41828.78681,1
U583,item583,583,41828.7875,1
U584,item584,584,41828.78819,1
U585,item585,585,41828.78889,1
U586,item586,586,41828.78958,1
U587,item587,587,41828.79028,1
U588,item588,588,41828.79097,1
U589,item589,589,41828.79167,1
U590,item590,590,41828.79236,1
U591,item591,591,41828.79306,1
U592,item592,592,41828.79375,1
U593,item593,593,41828.79444,1
U594,item594,594,41828.79514,1
U595,item595,595,41828.79583,1
U596,item596,596,41828.79653,1
U597,item597,597,41828.79722,1
U598,item598,598,41828.79792,1
U599,item599,599,41828.79861,1
U600,item600,600,41828.79931,1
U601,item601,601,41828.8,1
U602,item602,602,41828.80069,1
U603,item603,603,41828.80139,1
U604,item604,604,41828.80208,1
U605,item605,605,41828.80278,1
U606,item606,606,41828.80347,1
U607,item607,607,41828.80417,1
U608,item608,608,41828.80486,1
U609,item609,609,41828.80556,1
U610,item610,610,41828.80625,1
U611,item611,611,41828.80694,1
U612,item612,612,41828.80764,1
U613,item613,613,41828.80833,1
U614,item614,614,41828.80903,1
U615,item615,615,41828.80972,1
U616,item616,616,41828.81042,1
U617,item617,617,41828.81111,1
U618,item618,618,41828.81181,1
U619,item619,619,41828.8125,1
U620,item620,620,41828.81319,1
U621,item621,621,41828.81389,1
U622,item622,622,41828.81458,1
U623,item623,623,41828.81528,1
U624,item624,624,41828.81597,1
U625,item625,625,41828.81667,1
U626,item626,626,41828.81736,1
U627,item627,627,41828.81806,1
U628,item628,628,41828.81875,1
U629,item629,629,41828.81944,1
U630,item630,630,41828.82014,1
U631,item631,631,41828.82083,1
U632,item632,632,41828.82153,1
U633,item633,633,41828.82222,1
U634,item634,634,41828.82292,1
U635,item635,635,41828.82361,1
U636,item636,636,41828.82431,1
U637,item637,637,41828.825,1
U638,item638,638,41828.82569,1
U639,item639,639,41828.82639,1
U640,item640,640,41828.82708,1
U641,item641,641,41828.82778,1
U642,item642,642,41828.82847,1
U643,item643,643,41828.82917,1
U644,item644,644,41828.82986,1
U645,item645,645,41828.83056,1
U646,item646,646,41828.83125,1
U647,item647,647,41828.83194,1
U648,item648,648,41828.83264,1
U649,item649,649,41828.83333,1
U650,item650,650,41828.83403,1
U651,item651,651,41828.83472,1
U652,item652,652,41828.83542,1
U653,item653,653,41828.83611,1
U654,item654,654,41828.83681,1
U655,item655,655,41828.8375,1
U656,item656,656,41828.83819,1
U657,item657,657,41828.83889,1
U658,item658,658,41828.83958,1
U659,item659,659,41828.84028,1
U660,item660,660,41828.84097,1
U661,item661,661,41828.84167,1
U662,item662,662,41828.84236,1
U663,item663,663,41828.84306,1
U664,item664,664,41828.84375,1
U665,item665,665,41828.84444,1
U666,item666,666,41828.84514,1
U667,item667,667,41828.84583,1
U668,item668,668,41828.84653,1
U669,item669,669,41828.84722,1
U670,item670,670,41828.84792,1
U671,item671,671,41828.84861,1
U672,item672,672,41828.84931,1
U673,item673,673,41828.85,1
U674,item674,674,41828.85069,1
U675,item675,675,41828.85139,1
U676,item676,676,41828.85208,1
U677,item677,677,41828.85278,1
U678,item678,678,41828.85347,1
U679,item679,679,41828.85417,1
U680,item680,680,41828.85486,1
U681,item681,681,41828.85556,1
U682,item682,682,41828.85625,1
U683,item683,683,41828.85694,1
U684,item684,684,41828.85764,1
U685,item685,685,41828.85833,1
U686,item686,686,41828.85903,1
U687,item687,687,41828.85972,1
U688,item688,688,41828.86042,1
U689,item689,689,41828.86111,1
U690,item690,690,41828.86181,1
U691,item691,691,41828.8625,1
U692,item692,692,41828.86319,1
U693,item693,693,41828.86389,1
U694,item694,694,41828.86458,1
U695,item695,695,41828.86528,1
U696,item696,696,41828.86597,1
U697,item697,697,41828.86667,1
U698,item698,698,41828.86736,1
U699,item699,699,41828.86806,1
U700,item700,700,41828.86875,1
U701,item701,701,41828.86944,1
U702,item702,702,41828.87014,1
U703,item703,703,41828.87083,1
U704,item704,704,41828.87153,1
U705,item705,705,41828.87222,1
U706,item706,706,41828.87292,1
U707,item707,707,41828.87361,1
U708,item708,708,41828.87431,1
U709,item709,709,41828.875,1
U710,item710,710,41828.87569,1
U711,item711,711,41828.87639,1
U712,item712,712,41828.87708,1
U713,item713,713,41828.87778,1
U714,item714,714,41828.87847,1
U715,item715,715,41828.87917,1
U716,item716,716,41828.87986,1
U717,item717,717,41828.88056,1
U718,item718,718,41828.88125,1
U719,item719,719,41828.88194,1
U720,item720,720,41828.88264,1
U721,item721,721,41828.88333,1
U722,item722,722,41828.88403,1
U723,item723,723,41828.88472,1
U724,item724,724,41828.88542,1
U725,item725,725,41828.88611,1
U726,item726,726,41828.88681,1
U727,item727,727,41828.8875,1
U728,item728,728,41828.88819,1
U729,item729,729,41828.88889,1
U730,item730,730,41828.88958,1
U731,item731,731,41828.89028,1
U732,item732,732,41828.89097,1
U733,item733,733,41828.89167,1
U734,item734,734,41828.89236,1
U735,item735,735,41828.89306,1
U736,item736,736,41828.89375,1
U737,item737,737,41828.89444,1
U738,item738,738,41828.89514,1
U739,item739,739,41828.89583,1
U740,item740,740,41828.89653,1
U741,item741,741,41828.89722,1
U742,item742,742,41828.89792,1
U743,item743,743,41828.89861,1
U744,item744,744,41828.89931,1
U745,item745,745,41828.9,1
U746,item746,746,41828.90069,1
U747,item747,747,41828.90139,1
U748,item748,748,41828.90208,1
U749,item749,749,41828.90278,1
U750,item750,750,41828.90347,1
U751,item751,751,41828.90417,1
U752,item752,752,41828.90486,1
U753,item753,753,41828.90556,1
U754,item754,754,41828.90625,1
U755,item755,755,41828.90694,1
U756,item756,756,41828.90764,1
U757,item757,757,41828.90833,1
U758,item758,758,41828.90903,1
U759,item759,759,41828.90972,1
U760,item760,760,41828.91042,1
U761,item761,761,41828.91111,1
U762,item762,762,41828.91181,1
U763,item763,763,41828.9125,1
U764,item764,764,41828.91319,1
U765,item765,765,41828.91389,1
U766,item766,766,41828.91458,1
U767,item767,767,41828.91528,1
U768,item768,768,41828.91597,1
U769,item769,769,41828.91667,1
U770,item770,770,41828.91736,1
U771,item771,771,41828.91806,1
U772,item772,772,41828.91875,1
U773,item773,773,41828.91944,1
U774,item774,774,41828.92014,1
U775,item775,775,41828.92083,1
U776,item776,776,41828.92153,1
U777,item777,777,41828.92222,1
U778,item778,778,41828.92292,1
U779,item779,779,41828.92361,1
U780,item780,780,41828.92431,1
U781,item781,781,41828.925,1
U782,item782,782,41828.92569,1
U783,item783,783,41828.92639,1
U784,item784,784,41828.92708,1
U785,item785,785,41828.92778,1
U786,item786,786,41828.92847,1
U787,item787,787,41828.92917,1
U788,item788,788,41828.92986,1
U789,item789,789,41828.93056,1
U790,item790,790,41828.93125,1
U791,item791,791,41828.93194,1
U792,item792,792,41828.93264,1
U793,item793,793,41828.93333,1
U794,item794,794,41828.93403,1
U795,item795,795,41828.93472,1
U796,item796,796,41828.93542,1
U797,item797,797,41828.93611,1
U798,item798,798,41828.93681,1
U799,item799,799,41828.9375,1
U800,item800,800,41828.93819,1
U801,item801,801,41828.93889,1
U802,item802,802,41828.93958,1
U803,item803,803,41828.94028,1
U804,item804,804,41828.94097,1
U805,item805,805,41828.94167,1
U806,item806,806,41828.94236,1
U807,item807,807,41828.94306,1
U808,item808,808,41828.94375,1
U809,item809,809,41828.94444,1
U810,item810,810,41828.94514,1
U811,item811,811,41828.94583,1
U812,item812,812,41828.94653,1
U813,item813,813,41828.94722,1
U814,item814,814,41828.94792,1
U815,item815,815,41828.94861,1
U816,item816,816,41828.94931,1
U817,item817,817,41828.95,1
U818,item818,818,41828.95069,1
U819,item819,819,41828.95139,1
U820,item820,820,41828.95208,1
U821,item821,821,41828.95278,1
U822,item822,822,41828.95347,1
U823,item823,823,41828.95417,1
U824,item824,824,41828.95486,1
U825,item825,825,41828.95556,1
U826,item826,826,41828.95625,1
U827,item827,827,41828.95694,1
U828,item828,828,41828.95764,1
U829,item829,829,41828.95833,1
U830,item830,830,41828.95903,1
U831,item831,831,41828.95972,1
U832,item832,832,41828.96042,1
U833,item833,833,41828.96111,1
U834,item834,834,41828.96181,1
U835,item835,835,41828.9625,1
U836,item836,836,41828.96319,1
U837,item837,837,41828.96389,1
U838,item838,838,41828.96458,1
U839,item839,839,41828.96528,1
U840,item840,840,41828.96597,1
U841,item841,841,41828.96667,1
